participant,line_num,label,image_clicked,trial_start_time,context_start_time,context_end_time,target_start_time,target_audio_start_time,target_audio_end_time,mouse_move,mouse_start_time,mouse_end_time,question_answer_time,trial_end_time
01A,7331,Trial: 40,target,1.837101e6,1.838101e6,1.858084e6,1.858534e6,1.858568e6,1.86095e6,0,1.858535e6,1.862056e6,1.864831e6,1.864833e6
01A,7514,Trial: 41,target,1.867124e6,1.868124e6,1.892663e6,1.893077e6,1.893109e6,1.895404e6,0,1.893078e6,1.896015e6,1.899374e6,1.899377e6
01A,7622,Trial: 42,target,1.901467e6,1.902467e6,1.916807e6,1.917296e6,1.91733e6,1.919518e6,0,1.917296e6,1.9202e6,1.921695e6,1.921701e6
01A,7807,Trial: 43,target,1.923717e6,1.924717e6,1.941649e6,1.942732e6,1.942761e6,1.94462e6,0,1.942732e6,1.945823e6,1.948776e6,1.948788e6
01A,7954,Trial: 44,target,1.950854e6,1.951854e6,1.965521e6,1.965883e6,1.965912e6,1.967957e6,0,1.965883e6,1.968894e6,1.971591e6,1.971593e6
01A,8130,Trial: 45,target,1.973472e6,1.974472e6,1.991951e6,1.99282e6,1.992853e6,1.995113e6,0,1.99282e6,1.995606e6,1.997447e6,1.997449e6
01A,8260,Trial: 46,target,1.999225e6,2.000225e6,2.018507e6,2.018956e6,2.018984e6,2.021207e6,0,2.018957e6,2.022351e6,2.027527e6,2.027531e6
01A,8407,Trial: 47,target,2.030765e6,2.031765e6,2.047347e6,2.047745e6,2.047775e6,2.050129e6,0,2.047745e6,2.050375e6,2.052757e6,2.052767e6
01A,8589,Trial: 48,target,2.0545e6,2.0555e6,2.080699e6,2.08142e6,2.081457e6,2.083556e6,0,2.081421e6,2.084525e6,2.088189e6,2.088194e6
01A,8748,Trial: 49,target,2.089927e6,2.090927e6,2.113869e6,2.114495e6,2.114528e6,2.116569e6,0,2.114496e6,2.118165e6,2.120854e6,2.120856e6
01A,8867,Trial: 50,target,2.122585e6,2.123585e6,2.141545e6,2.14195e6,2.141979e6,2.144312e6,0,2.14195e6,2.144908e6,2.146469e6,2.146472e6
01A,8999,Trial: 51,target,2.148404e6,2.149404e6,2.171029e6,2.171439e6,2.17147e6,2.17371e6,0,2.171439e6,2.174685e6,2.176055e6,2.176061e6
01A,9160,Trial: 52,target,2.178361e6,2.179361e6,2.199678e6,2.20006e6,2.200091e6,2.202634e6,0,2.200061e6,2.203933e6,2.206797e6,2.206801e6
01A,9299,Trial: 53,target,2.208834e6,2.209834e6,2.232902e6,2.233286e6,2.233313e6,2.235388e6,0,2.233286e6,2.236223e6,2.238341e6,2.238343e6
01A,9503,Trial: 54,target,2.240241e6,2.241241e6,2.264271e6,2.264626e6,2.264654e6,2.267479e6,0,2.264626e6,2.272268e6,2.275748e6,2.275753e6
01A,9634,Trial: 55,target,2.278053e6,2.279053e6,2.299088e6,2.299469e6,2.299505e6,2.301229e6,0,2.29947e6,2.302284e6,2.304595e6,2.304598e6
01A,9735,Trial: 56,target,2.310277e6,2.311277e6,2.326057e6,2.32649e6,2.326526e6,2.329016e6,0,2.32649e6,2.329908e6,2.332132e6,2.332135e6
01A,9908,Trial: 57,target,2.334095e6,2.335095e6,2.355533e6,2.355945e6,2.355977e6,2.359098e6,0,2.355946e6,2.359451e6,2.362068e6,2.362071e6
01A,10074,Trial: 58,target,2.372174e6,2.373174e6,2.391217e6,2.391589e6,2.391619e6,2.394526e6,0,2.391589e6,2.395595e6,2.398499e6,2.398502e6
01A,10186,Trial: 59,target,2.400563e6,2.401563e6,2.416249e6,2.417042e6,2.41707e6,2.419394e6,0,2.417042e6,2.4201e6,2.422226e6,2.422231e6
01A,10394,Trial: 60,target,2.424664e6,2.425664e6,2.452511e6,2.452986e6,2.453021e6,2.455114e6,0,2.452986e6,2.4559e6,2.460395e6,2.460398e6
01A,10514,Trial: 61,target,2.465679e6,2.466679e6,2.486538e6,2.487012e6,2.487043e6,2.489283e6,0,2.487012e6,2.490026e6,2.491851e6,2.491854e6
